Sex,Category,Age,2018,2019,2020,2021,2022,2023
Men,Local,16-24,12.0,11.0,9.0,9.0,12.0,14.0
Men,Local,25-34,18.0,19.0,9.0,16.0,17.0,18.0
Men,Local,35-44,19.0,15.0,7.0,12.0,14.0,14.0
Men,Local,45-54,14.0,13.0,6.0,8.0,11.0,11.0
Men,Local,55-64,15.0,12.0,6.0,7.0,10.0,11.0
Men,Local,65-74,19.0,16.0,9.0,10.0,14.0,15.0
Men,Local,+75,17.0,15.0,7.0,12.0,14.0,15.0
Men,In Denmark,16-24,14.0,14.0,12.0,14.0,15.0,15.0
Men,In Denmark,25-34,14.0,14.0,9.0,13.0,12.0,11.0
Men,In Denmark,35-44,15.0,16.0,12.0,14.0,12.0,14.0
Men,In Denmark,45-54,18.0,18.0,12.0,13.0,13.0,15.0
Men,In Denmark,55-64,20.0,17.0,11.0,13.0,10.0,14.0
Men,In Denmark,65-74,22.0,20.0,12.0,14.0,14.0,16.0
Men,In Denmark,+75,16.0,14.0,9.0,11.0,15.0,14.0
Men,Abroad,16-24,12.0,11.0,2.0,5.0,9.0,11.0
Men,Abroad,25-34,10.0,9.0,4.0,6.0,7.0,9.0
Men,Abroad,35-44,9.0,6.0,2.0,5.0,6.0,8.0
Men,Abroad,45-54,9.0,11.0,2.0,5.0,6.0,9.0
Men,Abroad,55-64,9.0,9.0,1.0,3.0,5.0,8.0
Men,Abroad,65-74,8.0,7.0,1.0,3.0,6.0,6.0
Men,Abroad,+75,5.0,6.0,1.0,2.0,4.0,5.0
Men,Visited a museum,16-24,32.0,27.0,19.0,23.0,27.0,30.0
Men,Visited a museum,25-34,33.0,30.0,17.0,24.0,27.0,28.0
Men,Visited a museum,35-44,33.0,27.0,16.0,24.0,26.0,25.0
Men,Visited a museum,45-54,30.0,29.0,15.0,21.0,22.0,25.0
Men,Visited a museum,55-64,34.0,28.0,14.0,19.0,19.0,24.0
Men,Visited a museum,65-74,38.0,32.0,17.0,20.0,25.0,27.0
Men,Visited a museum,+75,30.0,25.0,13.0,20.0,24.0,24.0
Women,Local,16-24,16.0,16.0,13.0,16.0,17.0,16.0
Women,Local,25-34,21.0,19.0,13.0,18.0,21.0,22.0
Women,Local,35-44,18.0,16.0,7.0,12.0,17.0,16.0
Women,Local,45-54,16.0,14.0,7.0,13.0,13.0,13.0
Women,Local,55-64,21.0,18.0,8.0,13.0,13.0,13.0
Women,Local,65-74,24.0,19.0,9.0,18.0,18.0,19.0
Women,Local,+75,19.0,14.0,8.0,12.0,19.0,19.0
Women,In Denmark,16-24,20.0,20.0,15.0,19.0,16.0,19.0
Women,In Denmark,25-34,19.0,17.0,11.0,13.0,12.0,15.0
Women,In Denmark,35-44,19.0,18.0,13.0,16.0,15.0,18.0
Women,In Denmark,45-54,21.0,21.0,13.0,17.0,17.0,19.0
Women,In Denmark,55-64,24.0,21.0,11.0,16.0,18.0,18.0
Women,In Denmark,65-74,26.0,21.0,10.0,18.0,20.0,20.0
Women,In Denmark,+75,19.0,13.0,8.0,11.0,16.0,18.0
Women,Abroad,16-24,14.0,10.0,2.0,9.0,12.0,13.0
Women,Abroad,25-34,10.0,10.0,2.0,8.0,8.0,11.0
Women,Abroad,35-44,9.0,9.0,2.0,4.0,6.0,8.0
Women,Abroad,45-54,10.0,11.0,1.0,6.0,8.0,11.0
Women,Abroad,55-64,11.0,10.0,1.0,4.0,7.0,8.0
Women,Abroad,65-74,9.0,10.0,1.0,2.0,6.0,6.0
Women,Abroad,+75,5.0,5.0,0.0,2.0,4.0,5.0
Women,Visited a museum,16-24,39.0,35.0,25.0,36.0,38.0,38.0
Women,Visited a museum,25-34,38.0,35.0,21.0,29.0,32.0,34.0
Women,Visited a museum,35-44,35.0,34.0,18.0,25.0,28.0,31.0
Women,Visited a museum,45-54,37.0,33.0,17.0,28.0,28.0,31.0
Women,Visited a museum,55-64,42.0,35.0,16.0,26.0,29.0,30.0
Women,Visited a museum,65-74,45.0,36.0,15.0,30.0,32.0,33.0
Women,Visited a museum,+75,35.0,23.0,13.0,19.0,28.0,30.0
